Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale,File,Length,Size_1,Size_2,Size_3,Size_1_W,Size_1_H,Size_2_W,Size_2_H,Size_3_W,Size_3_H,Min_Width,Min_Height,Max_W_H,Sum_W_H,Category
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x250,1.0,40.968,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,27.312,500x250,,,500,250,,,,,500.0,250.0,500.0,750.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x300,1.0,19.391,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,12.119,500x300,,,500,300,,,,,500.0,300.0,500.0,800.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x350,1.0,31.532,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,18.548,500x350,,,500,350,,,,,500.0,350.0,500.0,850.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x400,1.0,57.565,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,31.98,500x400,,,500,400,,,,,500.0,400.0,500.0,900.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,550x150,1.0,20.379,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,14.556,550x150,,,550,150,,,,,550.0,150.0,550.0,700.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,550x250,1.0,11.926,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,7.454,550x250,,,550,250,,,,,550.0,250.0,550.0,800.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,550x400,1.0,70.983,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,37.36,550x400,,,550,400,,,,,550.0,400.0,550.0,950.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,600x250,1.0,3.8,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,2.235,600x250,,,600,250,,,,,600.0,250.0,600.0,850.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,600x350,1.0,8.28,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,4.358,600x350,,,600,350,,,,,600.0,350.0,600.0,950.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,650x300,1.0,16.394,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,8.629,650x300,,,650,300,,,,,650.0,300.0,650.0,950.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,650x350,1.0,57.409,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,28.705,650x350,,,650,350,,,,,650.0,350.0,650.0,1000.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x350,1.0,33.157,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,15.789,700x350,,,700,350,,,,,700.0,350.0,700.0,1050.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x400,1.0,33.414,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,15.188,700x400,,,700,400,,,,,700.0,400.0,700.0,1100.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x450,1.0,8.287,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,3.603,700x450,,,700,450,,,,,700.0,450.0,700.0,1150.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,750x150,1.0,0.235,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.131,750x150,,,750,150,,,,,750.0,150.0,750.0,900.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,750x500,1.0,7.758,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,3.103,750x500,,,750,500,,,,,750.0,500.0,750.0,1250.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x150,1.0,11.957,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,6.293,800x150,,,800,150,,,,,800.0,150.0,800.0,950.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x350,1.0,30.005,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,13.046,800x350,,,800,350,,,,,800.0,350.0,800.0,1150.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x400,1.0,78.432,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,32.68,800x400,,,800,400,,,,,800.0,400.0,800.0,1200.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x500,1.0,15.554,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,5.982,800x500,,,800,500,,,,,800.0,500.0,800.0,1300.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,850x200,1.0,23.644,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,11.259,850x200,,,850,200,,,,,850.0,200.0,850.0,1050.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,850x500,1.0,5.645,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,2.091,850x500,,,850,500,,,,,850.0,500.0,850.0,1350.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,900x300,1.0,37.583,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,15.659,900x300,,,900,300,,,,,900.0,300.0,900.0,1200.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1150x150,1.0,9.613,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,3.697,1150x150,,,1150,150,,,,,1150.0,150.0,1150.0,1300.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1700x400,1.0,119.987,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,28.568,1700x400,,,1700,400,,,,,1700.0,400.0,1700.0,2100.0,4
