,Family and Type,File,Quantity,Category
75,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.924,1
76,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.595,1
77,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
78,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
79,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
80,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
81,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
82,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
83,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
84,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
85,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
86,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
87,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
88,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
89,M-H Flange Rectangular Takeoff: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.049,1
90,M-H Flange Rectangular Takeoff: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.131,1
91,M-H Flange Rectangular Takeoff: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.208,3
92,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
93,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
94,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
95,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
96,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
97,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
98,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
99,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
100,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
101,M_Rectangular Endcap: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
102,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.287,1
103,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.233,1
104,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.341,1
